Page,Day Index,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/perchero-suelo-metal-negro-21504.html,22/11/2018,28,28,00:00:45,19,100.00%,67.86%,€0.00
/perchero-suelo-metal-negro-21504.html,23/11/2018,47,47,00:00:00,37,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,24/11/2018,28,28,00:00:26,19,47.37%,67.86%,€0.00
/perchero-suelo-metal-negro-21504.html,25/11/2018,94,66,00:00:44,56,66.07%,50.00%,€0.00
/perchero-suelo-metal-negro-21504.html,26/11/2018,47,37,00:01:15,19,100.00%,59.57%,€0.00
/perchero-suelo-metal-negro-21504.html,02/12/2018,28,28,00:00:51,9,100.00%,32.14%,€0.00
/perchero-suelo-metal-negro-21504.html,03/12/2018,9,9,00:00:00,0,0.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,04/12/2018,9,9,00:01:09,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,05/12/2018,9,9,00:00:25,9,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,07/12/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,10/12/2018,37,19,00:01:26,9,0.00%,51.35%,€0.00
/perchero-suelo-metal-negro-21504.html,11/12/2018,9,9,00:00:15,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,12/12/2018,19,19,00:00:00,19,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,14/12/2018,9,9,00:04:37,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,16/12/2018,9,9,00:00:00,0,0.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,17/12/2018,37,28,00:03:37,28,67.86%,75.68%,€0.00
/perchero-suelo-metal-negro-21504.html,20/12/2018,19,19,00:00:15,9,100.00%,47.37%,€0.00
/perchero-suelo-metal-negro-21504.html,24/12/2018,9,9,00:02:15,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,30/12/2018,28,28,00:00:21,19,100.00%,67.86%,€0.00
/perchero-suelo-metal-negro-21504.html,31/12/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,05/01/2019,9,9,00:00:04,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,07/01/2019,19,19,00:01:02,9,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,08/01/2019,19,19,00:00:00,9,100.00%,100.00%,€0.00
