,Unnamed: 0_x,Reference_x,CatN1,CatN2,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads,Dates,Unnamed: 0_y,Reference_y,Name,Net_Incomes,Units_sold,Unnamed: 0,Reference,Page_Views
35,115,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-08,54,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,149,103076,0.0
36,116,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-09,55,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,150,103076,0.0
37,117,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-10,56,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,151,103076,0.0
38,118,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-11,57,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,152,103076,0.0
39,119,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-12,58,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,153,103076,0.0
40,120,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-13,59,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,14,103076,28.0
41,121,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-14,2,103076.0,CONSOLA MARRÓN-BLANCO,214.88,1.0,15,103076,47.0
42,122,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-15,60,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,16,103076,19.0
43,123,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-16,61,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,154,103076,0.0
44,124,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-17,3,103076.0,CONSOLA MARRÓN-BLANCO,214.88,1.0,17,103076,19.0
