,Reference,Dates,Page_Views
78,61397,2018-09-10,19.0
79,61397,2018-09-11,28.0
80,61397,2018-09-12,19.0
81,61397,2018-09-13,9.0
82,61397,2018-09-14,28.0
83,61397,2018-09-15,19.0
84,61397,2018-09-16,28.0
85,61397,2018-09-17,37.0
86,61397,2018-09-18,28.0
87,61397,2018-09-19,66.0
88,61397,2018-09-20,56.0
89,61397,2018-09-21,28.0
90,61397,2018-09-22,75.0
91,61397,2018-09-23,28.0
92,61397,2018-09-24,47.0
93,61397,2018-09-25,94.0
94,61397,2018-09-26,47.0
95,61397,2018-09-27,37.0
96,61397,2018-09-28,47.0
97,61397,2018-09-29,112.0
98,61397,2018-09-30,122.0
99,61397,2018-10-01,56.0
100,61397,2018-10-02,19.0
101,61397,2018-10-03,47.0
102,61397,2018-10-04,47.0
489,61397,2018-10-05,0.0
103,61397,2018-10-06,37.0
104,61397,2018-10-07,28.0
105,61397,2018-10-08,19.0
106,61397,2018-10-09,47.0
107,61397,2018-10-10,47.0
108,61397,2018-10-11,9.0
109,61397,2018-10-12,9.0
110,61397,2018-10-13,9.0
111,61397,2018-10-14,9.0
112,61397,2018-10-15,37.0
490,61397,2018-10-16,0.0
113,61397,2018-10-17,9.0
114,61397,2018-10-18,9.0
115,61397,2018-10-19,9.0
116,61397,2018-10-20,19.0
491,61397,2018-10-21,0.0
492,61397,2018-10-22,0.0
117,61397,2018-10-23,9.0
118,61397,2018-10-24,9.0
493,61397,2018-10-25,0.0
119,61397,2018-10-26,9.0
494,61397,2018-10-27,0.0
120,61397,2018-10-28,28.0
121,61397,2018-10-29,19.0
495,61397,2018-10-30,0.0
496,61397,2018-10-31,0.0
497,61397,2018-11-01,0.0
122,61397,2018-11-02,9.0
123,61397,2018-11-03,19.0
124,61397,2018-11-04,19.0
498,61397,2018-11-05,0.0
125,61397,2018-11-06,9.0
499,61397,2018-11-07,0.0
500,61397,2018-11-08,0.0
501,61397,2018-11-09,0.0
126,61397,2018-11-10,9.0
127,61397,2018-11-11,19.0
502,61397,2018-11-12,0.0
128,61397,2018-11-13,9.0
129,61397,2018-11-14,19.0
503,61397,2018-11-15,0.0
130,61397,2018-11-16,9.0
131,61397,2018-11-17,9.0
132,61397,2018-11-18,9.0
133,61397,2018-11-19,19.0
134,61397,2018-11-20,19.0
135,61397,2018-11-21,9.0
136,61397,2018-11-22,47.0
137,61397,2018-11-23,37.0
504,61397,2018-11-24,0.0
505,61397,2018-11-25,0.0
138,61397,2018-11-26,19.0
506,61397,2018-11-27,0.0
507,61397,2018-11-28,0.0
508,61397,2018-11-29,0.0
509,61397,2018-11-30,0.0
510,61397,2018-12-01,0.0
139,61397,2018-12-02,9.0
140,61397,2018-12-03,9.0
511,61397,2018-12-04,0.0
141,61397,2018-12-05,9.0
142,61397,2018-12-06,19.0
512,61397,2018-12-07,0.0
513,61397,2018-12-08,0.0
