index;path;total_conversions;total_conversion_value
163;DIRECTO > DIRECTO > SHOPPING > DIRECTO;5;360
164;EMAIL > EMAIL > DIRECTO;5;396
165;EMAIL > EMAIL > EMAIL;5;198
166;SMART > FACEBOOK;5;249
167;CRITEO > FACEBOOK;5;121
168;SEARCH > ORGANICO > BRANDING;5;154
169;SEARCH > SHOPPING > DIRECTO;5;431
170;ORGANICO > DIRECTO > DIRECTO > BRANDING;5;402
171;ORGANICO > DIRECTO > CRITEO;5;188
172;ORGANICO > DIRECTO > CRITEO > DIRECTO;5;348
173;ORGANICO > DIRECTO > BRANDING > BRANDING;5;586
174;ORGANICO > BRANDING > BRANDING > DIRECTO;5;240
175;ORGANICO > BRANDING > ORGANICO > DIRECTO;5;483
176;ORGANICO > SHOPPING > ORGANICO;5;909
177;BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;5;416
178;BRANDING > DIRECTO > DIRECTO > DIRECTO > BRANDING;5;319
179;BRANDING > DIRECTO > FACEBOOK;5;285
180;BRANDING > BRANDING > BRANDING > BRANDING > DIRECTO;5;315
181;BRANDING > ORGANICO > DIRECTO > DIRECTO;5;798
182;BRANDING > ORGANICO > BRANDING > BRANDING;5;939
183;FACEBOOK > DIRECTO > DIRECTO > DIRECTO;5;515
184;FACEBOOK > FACEBOOK > FACEBOOK;5;392
185;SHOPPING > CRITEO > SHOPPING;5;286
186;SHOPPING > BRANDING > DIRECTO;5;318
187;SHOPPING > BRANDING > BRANDING > BRANDING;5;459
188;SHOPPING > ORGANICO > BRANDING > BRANDING;5;701
189;SHOPPING > SHOPPING > DIRECTO > DIRECTO > DIRECTO;5;355
190;SHOPPING > SHOPPING > ORGANICO > DIRECTO;5;566
191;SHOPPING > SHOPPING > SHOPPING > DIRECTO > DIRECTO;5;286
192;SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > DIRECTO;5;436
193;INSTAGRAM > FACEBOOK;4;322
194;DIRECTO > EMAIL > EMAIL;4;284
195;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;4;323
196;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;4;381
197;DIRECTO > DIRECTO > DIRECTO > FACEBOOK;4;341
198;DIRECTO > DIRECTO > CRITEO > DIRECTO;4;226
199;DIRECTO > DIRECTO > BRANDING;4;328
200;DIRECTO > (Other);4;774
201;DIRECTO > BRANDING > ORGANICO;4;284
202;EMAIL > ORGANICO;4;269
203;SMART > ORGANICO > BRANDING;4;157
204;SEARCH > DIRECTO > BRANDING;4;326
205;SEARCH > BRANDING > DIRECTO > DIRECTO;4;204
206;(Other) > DIRECTO;4;738
207;(Other) > DIRECTO > DIRECTO > DIRECTO;4;458
208;ORGANICO > DIRECTO > DIRECTO > BRANDING > DIRECTO;4;303
209;ORGANICO > (Other);4;413
210;ORGANICO > SHOPPING > DIRECTO > DIRECTO;4;541
211;BING_CPC > (Other);4;831
212;BRANDING > CRITEO > BRANDING;4;228
213;BRANDING > SEARCH;4;552
214;BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;4;435
215;BRANDING > DIRECTO > DIRECTO > BRANDING;4;758
216;BRANDING > DIRECTO > DIRECTO > FACEBOOK;4;1.539
217;BRANDING > DIRECTO > BRANDING > DIRECTO;4;269
218;BRANDING > DIRECTO > ORGANICO;4;182
219;BRANDING > BRANDING > BRANDING > FACEBOOK;4;359
220;BRANDING > ORGANICO > DIRECTO > DIRECTO > DIRECTO;4;540
221;SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;4;615
222;SHOPPING > DIRECTO > DIRECTO > DIRECTO > FACEBOOK;4;288
223;SHOPPING > BRANDING > SHOPPING;4;769
224;SHOPPING > ORGANICO > CRITEO;4;216
225;SHOPPING > SHOPPING > ORGANICO > DIRECTO > DIRECTO;4;261
226;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;3;289
227;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING;3;468
228;DIRECTO > DIRECTO > DIRECTO > ORGANICO;3;179
229;DIRECTO > DIRECTO > (Other);3;296
230;DIRECTO > DIRECTO > ORGANICO > DIRECTO > DIRECTO > DIRECTO;3;297
231;DIRECTO > BRANDING > BRANDING > DIRECTO;3;561
232;DIRECTO > BRANDING > BRANDING > BRANDING;3;192
233;DIRECTO > ORGANICO > DIRECTO > DIRECTO;3;1.168
234;EMAIL > CRITEO > DIRECTO;3;158
235;EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO;3;450
236;EMAIL > DIRECTO > EMAIL > DIRECTO;3;123
237;EMAIL > DIRECTO > BRANDING;3;142
238;SMART > CRITEO;3;173
239;CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;3;335
240;CRITEO > BRANDING > BRANDING > BRANDING;3;113
241;SEARCH > DIRECTO > DIRECTO > DIRECTO > DIRECTO;3;174
242;SEARCH > DIRECTO > DIRECTO > BRANDING;3;156
243;SEARCH > DIRECTO > ORGANICO;3;223
244;SEARCH > SEARCH > DIRECTO > DIRECTO;3;232
245;SEARCH > SEARCH > SEARCH > SEARCH;3;134
246;SEARCH > SEARCH > ORGANICO;3;78
247;SEARCH > ORGANICO > SEARCH;3;144
248;SEARCH > ORGANICO > DIRECTO > DIRECTO;3;363
249;SEARCH > BRANDING > DIRECTO;3;135
250;SEARCH > BRANDING > BRANDING > BRANDING > BRANDING;3;333
251;SEARCH > SHOPPING > DIRECTO > DIRECTO;3;209
252;SEARCH > SHOPPING > SHOPPING;3;46
253;SEARCH > SHOPPING > SHOPPING > DIRECTO;3;223
254;ORGANICO > CRITEO > ORGANICO;3;213
255;ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;3;374
256;ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;3;70
257;ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;3;612
258;ORGANICO > DIRECTO > (Other);3;355
259;ORGANICO > BRANDING > DIRECTO > DIRECTO > DIRECTO;3;732
260;ORGANICO > BRANDING > ORGANICO > BRANDING;3;245
261;ORGANICO > FACEBOOK > DIRECTO;3;326
262;ORGANICO > SHOPPING > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;3;459
263;ORGANICO > SHOPPING > SHOPPING > SHOPPING;3;144
264;BING_CPC > CRITEO;3;250
265;BING_CPC > FACEBOOK;3;135
266;BRANDING > BRANDING > EMAIL;3;319
267;BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING;3;923
268;BRANDING > FACEBOOK > DIRECTO;3;235
269;BRANDING > ORGANICO > DIRECTO > BRANDING;3;365
270;FACEBOOK > FACEBOOK > DIRECTO;3;189
271;FACEBOOK > FACEBOOK > DIRECTO > DIRECTO;3;181
272;FACEBOOK > FACEBOOK > FACEBOOK > FACEBOOK;3;141
273;SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;3;158
274;SHOPPING > DIRECTO > DIRECTO > DIRECTO > ORGANICO;3;411
275;SHOPPING > DIRECTO > DIRECTO > FACEBOOK;3;345
276;SHOPPING > BRANDING > DIRECTO > DIRECTO;3;776
277;SHOPPING > BRANDING > BRANDING > ORGANICO > DIRECTO;3;473
278;SHOPPING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING;3;472
279;SHOPPING > FACEBOOK > SHOPPING;3;114
280;SHOPPING > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;3;490
281;SHOPPING > ORGANICO > BRANDING;3;154
282;SHOPPING > SHOPPING > DIRECTO > FACEBOOK;3;282
283;SHOPPING > SHOPPING > BRANDING > DIRECTO;3;178
284;SHOPPING > SHOPPING > BRANDING > BRANDING;3;103
285;SHOPPING > SHOPPING > SHOPPING > SEARCH;3;370
286;SHOPPING > SHOPPING > SHOPPING > ORGANICO;3;184
287;SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING;3;135
288;BING_ORGANICO > BING_CPC;3;217
289;BING_ORGANICO > BING_ORGANICO;3;179
290;INSTAGRAM > INSTAGRAM > DIRECTO;2;66
291;INSTAGRAM > DIRECTO > FACEBOOK;2;49
292;INSTAGRAM > FACEBOOK > INSTAGRAM;2;49
293;DIRECTO > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;2;100
294;DIRECTO > CRITEO > BRANDING > BRANDING;2;168
295;DIRECTO > CRITEO > ORGANICO;2;211
296;DIRECTO > EMAIL;2;51
297;DIRECTO > EMAIL > DIRECTO > DIRECTO;2;158
298;DIRECTO > EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO;2;209
299;DIRECTO > SMART (impression) > DIRECTO;2;145
300;DIRECTO > SMART (impression) > SMART (impression) > DIRECTO;2;195
301;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;2;344
302;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;2;1.465
303;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;2;220
304;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;2;227
305;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > ORGANICO;2;216
306;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;2;182
307;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > FACEBOOK;2;148
308;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > FACEBOOK;2;84
309;DIRECTO > DIRECTO > DIRECTO > DIRECTO > FACEBOOK;2;65
310;DIRECTO > DIRECTO > DIRECTO > EMAIL;2;104
311;DIRECTO > DIRECTO > DIRECTO > CRITEO > DIRECTO;2;137
312;DIRECTO > DIRECTO > DIRECTO > BRANDING;2;97
313;DIRECTO > DIRECTO > DIRECTO > BRANDING > BRANDING > BRANDING > BRANDING > DIRECTO;2;647
314;DIRECTO > DIRECTO > DIRECTO > BRANDING > BRANDING > BRANDING > BRANDING > DIRECTO > (Other) > ORGANICO > BRANDING > BRANDING > ORGANICO > DIRECTO;2;359
315;DIRECTO > DIRECTO > EMAIL;2;55
316;DIRECTO > DIRECTO > EMAIL > DIRECTO;2;52
317;DIRECTO > DIRECTO > CRITEO > DIRECTO > DIRECTO > DIRECTO;2;103
318;DIRECTO > DIRECTO > BING_CPC > DIRECTO;2;67
319;DIRECTO > DIRECTO > BRANDING > DIRECTO;2;98
320;DIRECTO > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO;2;374
321;DIRECTO > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;2;83
322;DIRECTO > DIRECTO > BRANDING > ORGANICO > DIRECTO;2;67
323;DIRECTO > DIRECTO > ORGANICO > DIRECTO;2;1.186
324;DIRECTO > (Other) > DIRECTO;2;238
325;DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO;2;267
326;DIRECTO > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING;2;246
327;DIRECTO > BRANDING > FACEBOOK;2;80
328;DIRECTO > BRANDING > SHOPPING > DIRECTO > DIRECTO > CRITEO > SHOPPING > BRANDING > CRITEO > DIRECTO;2;54
329;DIRECTO > FACEBOOK > DIRECTO;2;402
330;DIRECTO > FACEBOOK > FACEBOOK;2;373
331;DIRECTO > ORGANICO > DIRECTO > DIRECTO > DIRECTO;2;138
332;DIRECTO > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;2;67
333;DIRECTO > ORGANICO > FACEBOOK;2;123
334;DIRECTO > SHOPPING > DIRECTO > DIRECTO;2;311
335;DIRECTO > SHOPPING > ORGANICO;2;227
336;DIRECTO > SHOPPING > SHOPPING;2;46
337;EMAIL > EMAIL > DIRECTO > EMAIL;2;133
338;EMAIL > EMAIL > DIRECTO > EMAIL > DIRECTO;2;133
339;EMAIL > DIRECTO > DIRECTO > DIRECTO > EMAIL;2;202
340;EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;2;46
341;EMAIL > DIRECTO > DIRECTO > BRANDING;2;228
342;EMAIL > DIRECTO > DIRECTO > BRANDING > BRANDING > DIRECTO > DIRECTO > EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO;2;752
343;EMAIL > DIRECTO > EMAIL;2;58
344;EMAIL > DIRECTO > ORGANICO;2;123
345;EMAIL > FACEBOOK;2;427
346;EMAIL > ORGANICO > DIRECTO;2;111
347;EMAIL > ORGANICO > DIRECTO > DIRECTO;2;61
348;SMART > SMART > DIRECTO;2;82
349;SMART > SMART > DIRECTO > DIRECTO > DIRECTO;2;198
350;SMART > SMART > SMART > SMART > SMART;2;129
351;SMART > SMART > ORGANICO;2;49
352;SMART > DIRECTO > DIRECTO > DIRECTO;2;247
353;SMART > DIRECTO > FACEBOOK;2;155
354;SMART > ORGANICO > DIRECTO > DIRECTO > DIRECTO;2;301
355;SMART > ORGANICO > SMART;2;115
356;SMART > ORGANICO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING > DIRECTO;2;405
357;CRITEO > DIRECTO > DIRECTO > ORGANICO;2;66
358;CRITEO > DIRECTO > BRANDING;2;146
359;CRITEO > EMAIL;2;59
360;CRITEO > ORGANICO;2;114
361;SEARCH > DIRECTO > SEARCH > BRANDING;2;64
362;SEARCH > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;2;226
363;SEARCH > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;2;166
364;SEARCH > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > ORGANICO;2;184
365;SEARCH > DIRECTO > DIRECTO > FACEBOOK;2;102
366;SEARCH > DIRECTO > FACEBOOK;2;104
367;SEARCH > EMAIL;2;142
368;SEARCH > CRITEO > DIRECTO > DIRECTO;2;172
369;SEARCH > SEARCH > CRITEO;2;69
370;SEARCH > SEARCH > BRANDING;2;53
371;SEARCH > SEARCH > SHOPPING;2;118
372;SEARCH > (Other);2;109
373;SEARCH > ORGANICO > SEARCH > DIRECTO;2;91
374;SEARCH > ORGANICO > DIRECTO > SEARCH;2;65
375;SEARCH > ORGANICO > DIRECTO > FACEBOOK;2;64
376;SEARCH > BRANDING > SEARCH;2;106
377;SEARCH > BRANDING > ORGANICO;2;174
