index;path;total_conversions;total_conversion_value
1837;ORGANICO > DIRECTO > CRITEO > SMART (impression) > EMAIL;1;17
1838;ORGANICO > DIRECTO > CRITEO > CRITEO > CRITEO > ORGANICO > CRITEO > DIRECTO > DIRECTO > ORGANICO > CRITEO > DIRECTO;1;165
1839;ORGANICO > DIRECTO > CRITEO > BRANDING;1;27
1840;ORGANICO > DIRECTO > CRITEO > ORGANICO;1;25
1841;ORGANICO > DIRECTO > CRITEO > ORGANICO > DIRECTO;1;409
1842;ORGANICO > DIRECTO > CRITEO > ORGANICO > DIRECTO > BRANDING;1;139
1843;ORGANICO > DIRECTO > CRITEO > ORGANICO > CRITEO;1;79
1844;ORGANICO > DIRECTO > CRITEO > ORGANICO > SHOPPING > CRITEO > SHOPPING > BRANDING > ORGANICO > DIRECTO > DIRECTO > BRANDING;1;52
1845;ORGANICO > DIRECTO > CRITEO > SHOPPING > BRANDING > DIRECTO > DIRECTO > DIRECTO > CRITEO > SHOPPING > CRITEO > SMART > SHOPPING > ORGANICO > DIRECTO > BRANDING > CRITEO > SHOPPING > ORGANICO > DIRECTO;1;54
1846;ORGANICO > DIRECTO > SEARCH > DIRECTO;1;50
1847;ORGANICO > DIRECTO > SEARCH > SEARCH > DIRECTO;1;62
1848;ORGANICO > DIRECTO > SEARCH > ORGANICO;1;66
1849;ORGANICO > DIRECTO > (Other) > DIRECTO > DIRECTO > FACEBOOK > ORGANICO;1;22
1850;ORGANICO > DIRECTO > (Other) > DIRECTO > ORGANICO > DIRECTO > DIRECTO;1;118
1851;ORGANICO > DIRECTO > (Other) > DIRECTO > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;37
1852;ORGANICO > DIRECTO > (Other) > DIRECTO > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;85
1853;ORGANICO > DIRECTO > (Other) > (Other) > DIRECTO;1;45
1854;ORGANICO > DIRECTO > (Other) > ORGANICO > DIRECTO > DIRECTO > DIRECTO;1;20
1855;ORGANICO > DIRECTO > BRANDING > DIRECTO > EMAIL > DIRECTO > SMART > DIRECTO > BRANDING > DIRECTO > DIRECTO > SMART > BRANDING > DIRECTO > DIRECTO > DIRECTO > CRITEO > CRITEO > DIRECTO > CRITEO > DIRECTO;1;48
1856;ORGANICO > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO;1;31
1857;ORGANICO > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;16
1858;ORGANICO > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING > DIRECTO > DIRECTO;1;474
1859;ORGANICO > DIRECTO > BRANDING > DIRECTO > DIRECTO > SMART > DIRECTO > BRANDING;1;36
1860;ORGANICO > DIRECTO > BRANDING > DIRECTO > BRANDING > ORGANICO > (Other) > ORGANICO > DIRECTO > DIRECTO;1;115
1861;ORGANICO > DIRECTO > BRANDING > DIRECTO > ORGANICO > DIRECTO > BRANDING;1;47
1862;ORGANICO > DIRECTO > BRANDING > CRITEO;1;22
1863;ORGANICO > DIRECTO > BRANDING > (Other);1;95
1864;ORGANICO > DIRECTO > BRANDING > ORGANICO > SMART (impression) > CRITEO;1;49
1865;ORGANICO > DIRECTO > BRANDING > ORGANICO > DIRECTO > DIRECTO;1;30
1866;ORGANICO > DIRECTO > BRANDING > ORGANICO > BRANDING > BRANDING > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > SMART (impression) > BRANDING > DIRECTO > BRANDING > DIRECTO > DIRECTO > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > ORGANICO > BRANDING;1;121
1867;ORGANICO > DIRECTO > BRANDING > ORGANICO > BRANDING > ORGANICO;1;42
1868;ORGANICO > DIRECTO > BRANDING > ORGANICO > BRANDING > ORGANICO > BRANDING;1;49
1869;ORGANICO > DIRECTO > BRANDING > BRANDING > SMART > BRANDING > DIRECTO > DIRECTO;1;64
1870;ORGANICO > DIRECTO > BRANDING > BRANDING > DIRECTO;1;252
1871;ORGANICO > DIRECTO > BRANDING > BRANDING > DIRECTO > ORGANICO;1;64
1872;ORGANICO > DIRECTO > BRANDING > BRANDING > BRANDING > EMAIL > DIRECTO > BRANDING;1;54
1873;ORGANICO > DIRECTO > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING;1;111
1874;ORGANICO > DIRECTO > BRANDING > BRANDING > ORGANICO;1;85
1875;ORGANICO > DIRECTO > BRANDING > BRANDING > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;133
1876;ORGANICO > DIRECTO > FACEBOOK > DIRECTO;1;73
1877;ORGANICO > DIRECTO > FACEBOOK > DIRECTO > DIRECTO > DIRECTO > FACEBOOK > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > ORGANICO > BRANDING;1;116
1878;ORGANICO > DIRECTO > FACEBOOK > DIRECTO > ORGANICO > DIRECTO > DIRECTO > DIRECTO;1;1.636
1879;ORGANICO > DIRECTO > FACEBOOK > BRANDING > DIRECTO > ORGANICO;1;56
1880;ORGANICO > DIRECTO > ORGANICO;1;70
1881;ORGANICO > DIRECTO > SHOPPING > DIRECTO;1;15
1882;ORGANICO > DIRECTO > SHOPPING > DIRECTO > DIRECTO > BRANDING > DIRECTO;1;181
1883;ORGANICO > DIRECTO > SHOPPING > DIRECTO > ORGANICO > SHOPPING > ORGANICO > DIRECTO > DIRECTO > DIRECTO;1;49
1884;ORGANICO > DIRECTO > SHOPPING > CRITEO > ORGANICO > SHOPPING > ORGANICO > DIRECTO;1;20
1885;ORGANICO > DIRECTO > SHOPPING > SEARCH > CRITEO > DIRECTO > ORGANICO > DIRECTO > CRITEO;1;42
1886;ORGANICO > DIRECTO > SHOPPING > ORGANICO > BRANDING;1;24
1887;ORGANICO > DIRECTO > SHOPPING > ORGANICO > BRANDING > ORGANICO > DIRECTO;1;207
1888;ORGANICO > DIRECTO > SHOPPING > FACEBOOK;1;25
1889;ORGANICO > DIRECTO > SHOPPING > SHOPPING > SEARCH;1;45
1890;ORGANICO > DIRECTO > SHOPPING > SHOPPING > SHOPPING > DIRECTO > BRANDING > BRANDING > BRANDING > BRANDING > (Other) > ORGANICO > DIRECTO > BRANDING > BRANDING > SHOPPING > SHOPPING > BRANDING > SHOPPING > ORGANICO > (Other) > ORGANICO > DIRECTO > CRITEO > DIRECTO > DIRECTO > DIRECTO > ORGANICO > DIRECTO > DIRECTO > CRITEO;1;104
1891;ORGANICO > DIRECTO > SHOPPING > SHOPPING > SHOPPING > (Other) > SHOPPING > ORGANICO > DIRECTO > DIRECTO > CRITEO > DIRECTO > DIRECTO > BRANDING > BRANDING > ORGANICO > DIRECTO;1;204
1892;ORGANICO > (Other) > DIRECTO;1;187
1893;ORGANICO > (Other) > DIRECTO > DIRECTO > DIRECTO > CRITEO > DIRECTO;1;324
1894;ORGANICO > (Other) > ORGANICO > DIRECTO;1;113
1895;ORGANICO > (Other) > ORGANICO > DIRECTO > DIRECTO;1;342
1896;ORGANICO > (Other) > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;188
1897;ORGANICO > (Other) > ORGANICO > (Other) > ORGANICO > EMAIL;1;48
1898;ORGANICO > (Other) > ORGANICO > BRANDING > BRANDING > BRANDING > (Other) > BRANDING > BRANDING > BRANDING > ORGANICO > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING;1;146
1899;ORGANICO > (Other) > FACEBOOK;1;21
1900;ORGANICO > BING_CPC > DIRECTO;1;22
1901;ORGANICO > BING_CPC > (Other) > BRANDING;1;97
1902;ORGANICO > BING_CPC > ORGANICO;1;15
1903;ORGANICO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;15
1904;ORGANICO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;73
1905;ORGANICO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING > BRANDING > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO > BRANDING > FACEBOOK;1;70
1906;ORGANICO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING;1;16
1907;ORGANICO > BRANDING > DIRECTO > DIRECTO > ORGANICO > FACEBOOK > ORGANICO;1;47
1908;ORGANICO > BRANDING > DIRECTO > SEARCH > BRANDING;1;54
1909;ORGANICO > BRANDING > DIRECTO > BRANDING;1;25
1910;ORGANICO > BRANDING > DIRECTO > BRANDING > DIRECTO;1;281
1911;ORGANICO > BRANDING > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;108
1912;ORGANICO > BRANDING > DIRECTO > BRANDING > DIRECTO > DIRECTO > BRANDING;1;60
1913;ORGANICO > BRANDING > DIRECTO > BRANDING > DIRECTO > BRANDING > BRANDING > DIRECTO > BRANDING > BRANDING > BRANDING > DIRECTO > BRANDING > BRANDING > BRANDING > DIRECTO > ORGANICO > BRANDING > DIRECTO > BRANDING > CRITEO > BRANDING > DIRECTO > BRANDING > BRANDING > BRANDING > DIRECTO > DIRECTO > BRANDING;1;239
1914;ORGANICO > BRANDING > DIRECTO > BRANDING > DIRECTO > BRANDING > BRANDING > BRANDING > BRANDING > DIRECTO > DIRECTO > BRANDING > DIRECTO;1;49
1915;ORGANICO > BRANDING > DIRECTO > BRANDING > BRANDING;1;25
1916;ORGANICO > BRANDING > DIRECTO > BRANDING > BRANDING > DIRECTO;1;176
1917;ORGANICO > BRANDING > DIRECTO > BRANDING > ORGANICO;1;25
1918;ORGANICO > BRANDING > SMART > BRANDING > ORGANICO;1;299
1919;ORGANICO > BRANDING > SEARCH > DIRECTO > BRANDING > BRANDING > DIRECTO > ORGANICO > DIRECTO;1;45
1920;ORGANICO > BRANDING > SEARCH > BRANDING > ORGANICO > DIRECTO > SEARCH > ORGANICO > BRANDING > SHOPPING > BRANDING > BRANDING > ORGANICO > DIRECTO > BRANDING > BRANDING > BRANDING;1;702
1921;ORGANICO > BRANDING > SEARCH > BRANDING > BRANDING > CRITEO > BRANDING > BRANDING > BRANDING > CRITEO > DIRECTO;1;78
1922;ORGANICO > BRANDING > SEARCH > BRANDING > BRANDING > DIRECTO > DIRECTO > SHOPPING > BRANDING;1;45
1923;ORGANICO > BRANDING > SEARCH > BRANDING > BRANDING > DIRECTO > DIRECTO > SHOPPING > BRANDING > SHOPPING > BRANDING > DIRECTO > BRANDING > DIRECTO > FACEBOOK;1;30
1924;ORGANICO > BRANDING > (Other) > BRANDING;1;30
1925;ORGANICO > BRANDING > (Other) > FACEBOOK;1;24
1926;ORGANICO > BRANDING > BRANDING > DIRECTO > DIRECTO;1;87
1927;ORGANICO > BRANDING > BRANDING > DIRECTO > DIRECTO > ORGANICO > BRANDING > DIRECTO > BRANDING > DIRECTO > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;39
1928;ORGANICO > BRANDING > BRANDING > DIRECTO > (Other) > BRANDING > (Other);1;60
1929;ORGANICO > BRANDING > BRANDING > DIRECTO > BRANDING > DIRECTO;1;29
1930;ORGANICO > BRANDING > BRANDING > DIRECTO > BRANDING > DIRECTO > CRITEO > DIRECTO > DIRECTO > BRANDING;1;30
1931;ORGANICO > BRANDING > BRANDING > DIRECTO > BRANDING > BRANDING > BRANDING;1;46
1932;ORGANICO > BRANDING > BRANDING > CRITEO;1;71
1933;ORGANICO > BRANDING > BRANDING > CRITEO > BRANDING > SHOPPING > BRANDING > BRANDING > BRANDING > DIRECTO > BRANDING > DIRECTO > BRANDING;1;98
1934;ORGANICO > BRANDING > BRANDING > ORGANICO;1;248
1935;ORGANICO > BRANDING > BRANDING > ORGANICO > EMAIL > BRANDING;1;49
1936;ORGANICO > BRANDING > BRANDING > ORGANICO > DIRECTO;1;30
1937;ORGANICO > BRANDING > BRANDING > ORGANICO > DIRECTO > DIRECTO;1;24
1938;ORGANICO > BRANDING > BRANDING > ORGANICO > BRANDING;1;76
1939;ORGANICO > BRANDING > BRANDING > ORGANICO > BRANDING > (Other) > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > ORGANICO > BRANDING > BRANDING > BRANDING > BRANDING > DIRECTO > BRANDING;1;108
1940;ORGANICO > BRANDING > BRANDING > BRANDING > CRITEO > DIRECTO > DIRECTO > DIRECTO > (Other) > ORGANICO > BRANDING > BRANDING;1;150
1941;ORGANICO > BRANDING > BRANDING > BRANDING > DIRECTO > SEARCH > DIRECTO > BRANDING;1;108
1942;ORGANICO > BRANDING > BRANDING > BRANDING > DIRECTO > SEARCH > BRANDING > BRANDING;1;181
1943;ORGANICO > BRANDING > BRANDING > BRANDING > DIRECTO > ORGANICO > BRANDING > BRANDING > BRANDING;1;88
1944;ORGANICO > BRANDING > BRANDING > BRANDING > BRANDING;1;63
1945;ORGANICO > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > DIRECTO > BRANDING > DIRECTO;1;139
1946;ORGANICO > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > FACEBOOK;1;91
1947;ORGANICO > BRANDING > BRANDING > BRANDING > ORGANICO > SHOPPING > BRANDING;1;261
1948;ORGANICO > BRANDING > BRANDING > BRANDING > ORGANICO > SHOPPING > BRANDING > BRANDING;1;290
1949;ORGANICO > BRANDING > BRANDING > BRANDING > SHOPPING > ORGANICO > BRANDING > ORGANICO > DIRECTO > BRANDING > BRANDING > BRANDING > DIRECTO > BRANDING > ORGANICO > BRANDING;1;121
1950;ORGANICO > BRANDING > BRANDING > SHOPPING;1;30
1951;ORGANICO > BRANDING > FACEBOOK;1;20
1952;ORGANICO > BRANDING > ORGANICO > DIRECTO > SMART (impression) > DIRECTO > FACEBOOK;1;62
1953;ORGANICO > BRANDING > ORGANICO > DIRECTO > DIRECTO > BRANDING;1;72
1954;ORGANICO > BRANDING > ORGANICO > DIRECTO > DIRECTO > BRANDING > DIRECTO > ORGANICO > DIRECTO > DIRECTO;1;18
1955;ORGANICO > BRANDING > ORGANICO > DIRECTO > DIRECTO > BRANDING > ORGANICO > BRANDING > ORGANICO;1;35
1956;ORGANICO > BRANDING > ORGANICO > DIRECTO > DIRECTO > FACEBOOK;1;51
1957;ORGANICO > BRANDING > ORGANICO > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > CRITEO > DIRECTO > DIRECTO > DIRECTO;1;31
1958;ORGANICO > BRANDING > ORGANICO > BRANDING > DIRECTO;1;35
1959;ORGANICO > BRANDING > ORGANICO > BRANDING > DIRECTO > DIRECTO > (Other);1;72
1960;ORGANICO > BRANDING > ORGANICO > BRANDING > DIRECTO > BRANDING > SEARCH > SHOPPING > ORGANICO > BRANDING > BRANDING > BRANDING;1;36
1961;ORGANICO > BRANDING > ORGANICO > BRANDING > BRANDING > DIRECTO;1;36
1962;ORGANICO > BRANDING > ORGANICO > BRANDING > BRANDING > BRANDING;1;105
1963;ORGANICO > BRANDING > ORGANICO > BRANDING > BRANDING > BRANDING > BRANDING > DIRECTO > FACEBOOK;1;89
1964;ORGANICO > BRANDING > ORGANICO > BRANDING > FACEBOOK;1;98
1965;ORGANICO > BRANDING > ORGANICO > BRANDING > ORGANICO > DIRECTO > DIRECTO;1;87
1966;ORGANICO > BRANDING > ORGANICO > BRANDING > ORGANICO > SHOPPING > BRANDING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > BRANDING > ORGANICO > SHOPPING > SHOPPING > SHOPPING > SHOPPING > DISPLAY GOOGLE > SHOPPING > SHOPPING > CRITEO > DIRECTO > ORGANICO > BRANDING > DIRECTO > SHOPPING > CRITEO > SHOPPING > DIRECTO > CRITEO > DISPLAY GOOGLE > EMAIL > SHOPPING > DIRECTO > BRANDING;1;230
1967;ORGANICO > BRANDING > ORGANICO > FACEBOOK;1;90
1968;ORGANICO > BRANDING > ORGANICO > SHOPPING > BRANDING > DIRECTO > DIRECTO;1;31
1969;ORGANICO > BRANDING > SHOPPING > DIRECTO > SHOPPING > SHOPPING > DIRECTO > ORGANICO > DIRECTO;1;94
1970;ORGANICO > BRANDING > SHOPPING > ORGANICO > CRITEO;1;27
1971;ORGANICO > BRANDING > SHOPPING > ORGANICO > SHOPPING > SHOPPING > BRANDING > BRANDING > ORGANICO > SEARCH > DIRECTO > SHOPPING > ORGANICO;1;128
1972;ORGANICO > BRANDING > SHOPPING > BRANDING > BRANDING > BRANDING > BRANDING > ORGANICO;1;35
1973;ORGANICO > BRANDING > SHOPPING > FACEBOOK;1;25
1974;ORGANICO > BRANDING > DISPLAY GOOGLE (impression) > BRANDING > BRANDING > FACEBOOK;1;22
1975;ORGANICO > FACEBOOK > DIRECTO > DIRECTO > EMAIL;1;22
1976;ORGANICO > FACEBOOK > SMART (impression) > DIRECTO;1;54
1977;ORGANICO > FACEBOOK > CRITEO;1;12
1978;ORGANICO > FACEBOOK > BRANDING;1;81
1979;ORGANICO > FACEBOOK > BRANDING > DIRECTO > DIRECTO;1;31
1980;ORGANICO > FACEBOOK > ORGANICO > DIRECTO;1;31
1981;ORGANICO > FACEBOOK > SHOPPING > FACEBOOK;1;52
1982;ORGANICO > ORGANICO > DIRECTO > DIRECTO;1;55
1983;ORGANICO > ORGANICO > BRANDING;1;85
1984;ORGANICO > SHOPPING > DIRECTO > DIRECTO > DIRECTO;1;136
1985;ORGANICO > SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;76
1986;ORGANICO > SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;22
1987;ORGANICO > SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > FACEBOOK > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING > DIRECTO > ORGANICO > DIRECTO;1;36
1988;ORGANICO > SHOPPING > DIRECTO > DIRECTO > DIRECTO > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;60
1989;ORGANICO > SHOPPING > DIRECTO > DIRECTO > ORGANICO;1;134
1990;ORGANICO > SHOPPING > DIRECTO > DIRECTO > ORGANICO > DIRECTO > BRANDING > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > SHOPPING > DIRECTO > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING;1;83
1991;ORGANICO > SHOPPING > DIRECTO > ORGANICO > SHOPPING > DIRECTO > DIRECTO > DIRECTO;1;33
1992;ORGANICO > SHOPPING > DIRECTO > BRANDING;1;148
1993;ORGANICO > SHOPPING > DIRECTO > BRANDING > BRANDING > ORGANICO;1;252
1994;ORGANICO > SHOPPING > DIRECTO > BRANDING > ORGANICO > BRANDING > BRANDING;1;105
1995;ORGANICO > SHOPPING > DIRECTO > FACEBOOK;1;102
1996;ORGANICO > SHOPPING > DIRECTO > SHOPPING > ORGANICO > DIRECTO > DIRECTO > DIRECTO > FACEBOOK > DIRECTO > DIRECTO > ORGANICO;1;62
1997;ORGANICO > SHOPPING > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART > SMART;1;13
1998;ORGANICO > SHOPPING > SMART > SMART > SMART;1;93
1999;ORGANICO > SHOPPING > CRITEO;1;34
2000;ORGANICO > SHOPPING > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;15
2001;ORGANICO > SHOPPING > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;15
2002;ORGANICO > SHOPPING > CRITEO > DIRECTO > BRANDING > BRANDING > CRITEO > BRANDING;1;12
2003;ORGANICO > SHOPPING > CRITEO > BRANDING > BRANDING > BRANDING > ORGANICO > BRANDING > BRANDING > DIRECTO > DIRECTO;1;104
2004;ORGANICO > SHOPPING > SEARCH > DIRECTO > DIRECTO > DIRECTO > BRANDING > BRANDING > SEARCH > DIRECTO > BRANDING > (Other) > BRANDING > DIRECTO > DIRECTO > BRANDING > ORGANICO > BRANDING > BRANDING > ORGANICO > BRANDING > BRANDING > BRANDING;1;161
2005;ORGANICO > SHOPPING > (Other) > BRANDING > BRANDING > BRANDING > ORGANICO > BRANDING > ORGANICO > BRANDING > ORGANICO > BRANDING > SMART > BRANDING > BRANDING > BRANDING > DIRECTO > BRANDING > BRANDING;1;19
2006;ORGANICO > SHOPPING > (Other) > SHOPPING > BRANDING > SHOPPING > ORGANICO > CRITEO > ORGANICO > DIRECTO > CRITEO > ORGANICO;1;207
2007;ORGANICO > SHOPPING > BRANDING > ORGANICO > DIRECTO;1;50
2008;ORGANICO > SHOPPING > BRANDING > ORGANICO > DIRECTO > DIRECTO > DIRECTO;1;17
2009;ORGANICO > SHOPPING > BRANDING > ORGANICO > BRANDING > ORGANICO > BRANDING > BRANDING > ORGANICO > FACEBOOK;1;298
2010;ORGANICO > SHOPPING > BRANDING > ORGANICO > SHOPPING > CRITEO > DIRECTO > BRANDING > CRITEO;1;207
2011;ORGANICO > SHOPPING > BRANDING > BRANDING > BRANDING > DIRECTO;1;40
2012;ORGANICO > SHOPPING > BRANDING > BRANDING > FACEBOOK;1;69
2013;ORGANICO > SHOPPING > BRANDING > BRANDING > ORGANICO > DIRECTO > SHOPPING > ORGANICO > DIRECTO > DIRECTO > BRANDING > BRANDING > (Other) > BRANDING > DIRECTO > DIRECTO;1;52
2014;ORGANICO > SHOPPING > ORGANICO > DIRECTO;1;99
2015;ORGANICO > SHOPPING > ORGANICO > DIRECTO > DIRECTO;1;382
2016;ORGANICO > SHOPPING > ORGANICO > DIRECTO > DIRECTO > DIRECTO;1;13
2017;ORGANICO > SHOPPING > ORGANICO > DIRECTO > DIRECTO > DIRECTO > (Other) > BRANDING > BRANDING > DIRECTO > DIRECTO > ORGANICO;1;70
2018;ORGANICO > SHOPPING > ORGANICO > DIRECTO > SHOPPING > SHOPPING > ORGANICO > BRANDING > ORGANICO;1;50
2019;ORGANICO > SHOPPING > ORGANICO > DIRECTO > SHOPPING > SHOPPING > ORGANICO > BRANDING > ORGANICO > DIRECTO > DIRECTO > DIRECTO > CRITEO > SEARCH > ORGANICO > CRITEO > DIRECTO > DIRECTO > BRANDING > ORGANICO > DIRECTO > SHOPPING > CRITEO > BRANDING > ORGANICO > BRANDING > SHOPPING > BRANDING > BRANDING > BRANDING;1;35
2020;ORGANICO > SHOPPING > ORGANICO > CRITEO > SMART (impression) > SMART > SMART (impression) > DIRECTO > DIRECTO;1;32
2021;ORGANICO > SHOPPING > ORGANICO > SEARCH;1;54
2022;ORGANICO > SHOPPING > ORGANICO > (Other);1;32
2023;ORGANICO > SHOPPING > ORGANICO > FACEBOOK > ORGANICO;1;25
2024;ORGANICO > SHOPPING > ORGANICO > SHOPPING > DIRECTO > CRITEO > DIRECTO > ORGANICO;1;113
2025;ORGANICO > SHOPPING > ORGANICO > SHOPPING > BRANDING > BRANDING > DIRECTO;1;57
2026;ORGANICO > SHOPPING > ORGANICO > SHOPPING > ORGANICO;1;110
2027;ORGANICO > SHOPPING > ORGANICO > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING;1;62
2028;ORGANICO > SHOPPING > SHOPPING > DIRECTO > DIRECTO;1;34
2029;ORGANICO > SHOPPING > SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;24
2030;ORGANICO > SHOPPING > SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > SHOPPING > DIRECTO;1;117
2031;ORGANICO > SHOPPING > SHOPPING > DIRECTO > DIRECTO > ORGANICO;1;88
2032;ORGANICO > SHOPPING > SHOPPING > DIRECTO > DIRECTO > SHOPPING;1;165
2033;ORGANICO > SHOPPING > SHOPPING > DIRECTO > SHOPPING;1;56
2034;ORGANICO > SHOPPING > SHOPPING > ORGANICO > DIRECTO;1;121
2035;ORGANICO > SHOPPING > SHOPPING > ORGANICO > DIRECTO > DIRECTO;1;30
2036;ORGANICO > SHOPPING > SHOPPING > ORGANICO > DIRECTO > DIRECTO > DIRECTO;1;74
2037;ORGANICO > SHOPPING > SHOPPING > ORGANICO > SHOPPING > DIRECTO;1;67
2038;ORGANICO > SHOPPING > SHOPPING > ORGANICO > SHOPPING > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > FACEBOOK;1;35
2039;ORGANICO > SHOPPING > SHOPPING > ORGANICO > SHOPPING > SHOPPING > SHOPPING > SHOPPING;1;40
2040;ORGANICO > SHOPPING > SHOPPING > BRANDING;1;55
2041;ORGANICO > SHOPPING > SHOPPING > BRANDING > DIRECTO > DIRECTO;1;22
2042;ORGANICO > SHOPPING > SHOPPING > BRANDING > SHOPPING > SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > SHOPPING > SHOPPING > DIRECTO > DIRECTO;1;146
2043;ORGANICO > SHOPPING > SHOPPING > FACEBOOK;1;60
2044;ORGANICO > SHOPPING > SHOPPING > SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > SHOPPING;1;227
2045;ORGANICO > SHOPPING > SHOPPING > SHOPPING > SHOPPING > DIRECTO > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;19
2046;ORGANICO > SHOPPING > SHOPPING > SHOPPING > SHOPPING > BRANDING > ORGANICO > SHOPPING > CRITEO > ORGANICO;1;117
2047;ORGANICO > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > CRITEO > DIRECTO;1;63
2048;ORGANICO > DISPLAY GOOGLE;1;17
2049;ORGANICO > DISPLAY GOOGLE > ORGANICO > CRITEO > SHOPPING > ORGANICO > DIRECTO > DIRECTO > DISPLAY GOOGLE > CRITEO > DIRECTO > BRANDING;1;34
2050;ORGANICO > DISPLAY GOOGLE > ORGANICO > BRANDING;1;53
2051;ORGANICO > BING_ORGANICO;1;216
2052;ORGANICO > BING_ORGANICO > DIRECTO;1;15
2053;BING_CPC > CRITEO > DIRECTO > DIRECTO;1;58
2054;BING_CPC > CRITEO > DIRECTO > DIRECTO > DIRECTO;1;120
