,CatN1,CatN2,Cat_Price,CPC_medio,CPC_medio_1w,CPC_medio_2w,CPC_medio_3w,CPC_medio_4w,Impressions,Impressions_1w,Impressions_2w,Impressions_3w,Impressions_4w,Clics,Clics_1w,Clics_2w,Clics_3w,Clics_4w,CTR,CTR_1w,CTR_2w,CTR_3w,CTR_4w,Page_Views,Page_Views_1w,Page_Views_2w,Page_Views_3w,Page_Views_4w,Cost,Cost_1w,Cost_2w,Cost_3w,Cost_4w,Conversions,Conversions_1w,Conversions_2w,Conversions_3w,Conversions_4w,All_Conversions,All_Conversions_1w,All_Conversions_2w,All_Conversions_3w,All_Conversions_4w,Ads_Income,Ads_Income_1w,Ads_Income_2w,Ads_Income_3w,Ads_Income_4w,Ads_Income_All,Ads_Income_All_1w,Ads_Income_All_2w,Ads_Income_All_3w,Ads_Income_All_4w,Net_Incomes,Net_Incomes_1w,Net_Incomes_2w,Net_Incomes_3w,Net_Incomes_4w,Units_sold,Units_sold_1w,Units_sold_2w,Units_sold_3w,Units_sold_4w,ROAS_Ads,ROAS
41,muebles,"consolas, recibidores y tocadores",200.0,0.25,0.26,0.27,0.26,0.27,4733.0,3209.14,3247.57,3247.57,3247.57,23.0,16.14,16.71,16.71,16.71,0.004859497147686457,0.0,0.01,0.01,0.01,9.0,41.29,32.57,32.57,32.57,5.86,4.22,4.5,4.5,4.5,0.0,0.0,0.1,0.1,0.1,0.0,0.43,0.74,0.74,0.74,0.0,0.0,15.77,15.77,15.77,0.0,0.0,15.77,15.77,15.77,327.28,46.75,33.9,33.9,33.9,2.0,0.29,0.21,0.21,0.21,0.0,55.84982935153583
65,muebles,"consolas, recibidores y tocadores",200.0,0.24,0.25,0.25,0.26,0.26,3650.0,3430.0,3403.36,3532.24,3484.82,22.0,20.71,19.0,20.1,19.21,0.006027397260273973,0.01,0.01,0.01,0.01,9.0,21.29,20.0,24.05,25.68,5.26,5.09,4.69,5.21,4.99,0.25,0.04,0.02,0.01,0.01,1.25,0.89,1.2,0.97,0.81,49.5,7.07,3.54,2.36,2.59,49.5,13.36,20.04,15.35,12.46,163.64,46.75,23.38,15.58,23.38,1.0,0.29,0.14,0.1,0.14,9.41,31.110266159695815
71,muebles,"consolas, recibidores y tocadores",200.0,0.32,0.26,0.26,0.26,0.26,3214.0,4328.29,3780.21,3705.57,3714.79,18.0,27.86,23.21,21.81,21.79,0.005600497822028625,0.01,0.01,0.01,0.01,66.0,40.14,31.43,28.05,28.75,5.84,7.2,5.89,5.57,5.65,0.0,0.04,0.02,0.01,0.01,0.0,1.2,0.96,1.19,0.98,0.0,7.07,3.54,2.36,1.77,0.0,7.84,7.06,13.62,11.71,147.27,44.42,33.9,22.6,16.95,1.0,0.29,0.21,0.14,0.11,0.0,25.21746575342466
79,muebles,"consolas, recibidores y tocadores",200.0,0.38,0.39,0.34,0.31,0.29,3502.0,3520.43,3923.14,3758.76,3663.25,33.0,23.29,25.64,24.0,22.32,0.009423186750428329,0.01,0.01,0.01,0.01,75.0,29.43,36.79,31.62,28.39,12.47,9.38,8.53,7.39,6.61,0.0,0.25,0.12,0.09,0.07,0.0,0.49,0.75,0.8,0.98,0.0,27.26,13.63,11.44,8.58,0.0,53.45,27.11,22.53,23.58,147.28,21.04,21.04,29.61,22.21,1.0,0.14,0.14,0.19,0.14,0.0,11.81074578989575
81,muebles,"consolas, recibidores y tocadores",200.0,0.51,0.43,0.37,0.33,0.31,2859.0,3554.29,3733.71,3853.81,3649.39,19.0,25.57,23.79,24.71,22.54,0.00664568030779993,0.01,0.01,0.01,0.01,47.0,34.71,38.79,32.95,29.39,9.66,10.86,8.84,7.95,7.0,0.0,0.22,0.12,0.09,0.07,0.0,0.45,0.61,0.7,0.87,0.0,24.07,13.63,11.44,8.58,0.0,49.2,27.11,22.53,23.54,294.54,63.12,42.08,43.64,32.73,2.0,0.43,0.29,0.29,0.21,0.0,30.490683229813666
84,muebles,"consolas, recibidores y tocadores",200.0,0.56,0.52,0.45,0.38,0.35,3371.0,3645.86,3522.21,3825.86,3595.68,15.0,24.43,22.86,24.71,22.61,0.0044497181845149815,0.01,0.01,0.01,0.01,37.0,44.0,35.36,35.14,31.36,8.35,12.64,10.44,9.32,8.01,0.0,0.08,0.12,0.09,0.07,0.0,0.15,0.24,0.56,0.64,0.0,9.8,13.63,11.44,8.58,0.0,19.12,26.73,20.43,16.9,147.27,84.16,52.6,42.86,37.99,1.0,0.57,0.36,0.29,0.25,0.0,17.637125748502996
102,muebles,"consolas, recibidores y tocadores",200.0,0.36,0.4,0.39,0.43,0.43,577.0,599.71,554.07,1010.67,1646.57,7.0,3.29,3.43,6.1,10.96,0.012131715771230504,0.01,0.01,0.01,0.01,9.0,8.0,10.64,14.62,19.64,2.51,1.23,1.28,3.2,5.12,0.0,0.0,0.0,0.0,0.05,1.0,0.14,0.07,0.05,0.15,0.0,0.0,0.0,0.0,6.02,62.91,8.99,4.49,3.0,14.55,163.64,23.38,23.38,22.6,32.73,1.0,0.14,0.14,0.14,0.21,0.0,65.19521912350598
113,muebles,"consolas, recibidores y tocadores",200.0,0.38,0.3,0.37,0.38,0.39,454.0,665.29,758.86,665.9,624.54,2.0,3.57,3.79,3.81,3.32,0.004405286343612335,0.01,0.01,0.01,0.01,28.0,14.57,11.29,11.1,11.0,0.77,1.35,1.48,1.48,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49,3.0,2.25,163.64,23.38,35.07,23.38,23.38,1.0,0.14,0.21,0.14,0.14,0.0,212.5194805194805
116,muebles,"consolas, recibidores y tocadores",200.0,0.38,0.34,0.38,0.38,0.38,519.0,594.86,724.71,683.05,639.39,6.0,3.86,3.79,3.62,3.61,0.011560693641618495,0.01,0.01,0.01,0.01,47.0,13.29,14.0,12.0,12.32,2.27,1.55,1.51,1.41,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.25,163.64,46.75,35.07,31.17,29.22,1.0,0.29,0.21,0.19,0.18,0.0,72.08810572687224
118,muebles,"consolas, recibidores y tocadores",200.0,0.33,0.39,0.37,0.37,0.38,746.0,614.86,707.14,713.95,658.04,5.0,4.14,3.64,3.9,3.75,0.006702412868632708,0.01,0.01,0.01,0.01,9.0,13.29,14.64,11.52,12.32,1.66,1.61,1.41,1.51,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.25,163.64,70.13,35.07,38.96,29.22,1.0,0.43,0.21,0.24,0.18,0.0,98.57831325301204
