Fuente/medio;Conversiones;Valor de las conversiones
(direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > criteo / banner;1;0,00 €
(direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none);1;0,00 €
(direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > yotpo / email > (direct) / (none) > google / cpc > yotpo / email > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > Universal LDK / email > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > Universal LDK / email;1;0,00 €
(direct) / (none) > google / cpc > (direct) / (none) > facebook.com / referral;1;0,00 €
(direct) / (none) > google / cpc > google / organic > google / cpc > google / cpc > google / organic > google / cpc > google / cpc > google / organic > (direct) / (none) > google / cpc > google / organic > (direct) / (none) > google / cpc > google / cpc > google / organic;1;0,00 €
(direct) / (none) > google / cpc > google / organic > google / cpc > google / cpc > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > google / cpc > google / organic > google / cpc > (direct) / (none);1;0,00 €
(direct) / (none) > google / cpc > google / organic > (direct) / (none) > google / cpc;1;0,00 €
(direct) / (none) > google / cpc > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > yotpo / email;1;0,00 €
(direct) / (none) > yotpo / email > google / cpc > bing / cpc > google / cpc > google / cpc > google / cpc > Universal LDK / email > google / organic > google / cpc > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > yotpo / email > (direct) / (none) > google / cpc > yotpo / email > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > Universal LDK / email > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > Universal LDK / email > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > yotpo / email > (direct) / (none) > google / cpc > yotpo / email > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > Universal LDK / email > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > Universal LDK / email > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > (not set) / (not set);1;0,00 €
(direct) / (none) > Facebook / PaidSocial;1;0,00 €
(direct) / (none) > Facebook / PaidSocial > criteo / banner > Facebook / PaidSocial > criteo / banner > Facebook / PaidSocial > criteo / banner > (direct) / (none) > (direct) / (none) > Facebook / PaidSocial > (direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > Facebook / PaidSocial > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > Facebook / PaidSocial > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > Universal LDK / email;1;0,00 €
(direct) / (none) > Universal LDK / email > Universal LDK / email > google / cpc;1;0,00 €
(direct) / (none) > Universal LDK / email > Universal LDK / email > google / cpc > Universal LDK / email > Universal LDK / email;1;0,00 €
(direct) / (none) > Universal LDK / email > Universal LDK / email > google / cpc > Universal LDK / email > Universal LDK / email > Universal LDK / email;1;0,00 €
(direct) / (none) > Universal LDK / email > Universal LDK / email > criteo / banner > google / cpc;1;0,00 €
(direct) / (none) > Universal LDK / email > Universal LDK / email > criteo / banner > google / cpc > criteo / banner;1;0,00 €
(direct) / (none) > Universal LDK / email > Universal LDK / email > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > Universal LDK / email > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > l.instagram.com / referral > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > (direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > Universal LDK / email > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > Universal LDK / email;1;0,00 €
(direct) / (none) > Universal LDK / email > (direct) / (none) > (direct) / (none) > google / organic > google / cpc > (direct) / (none) > Universal LDK / email > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > (direct) / (none) > lolaterecomienda / home;1;0,00 €
(direct) / (none) > Universal LDK / email > (direct) / (none) > lolaterecomienda / home > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > (direct) / (none) > lolaterecomienda / home > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > Universal LDK / email > google / organic;1;0,00 €
(direct) / (none) > Universal LDK / email > google / organic > criteo / banner > google / organic > Universal LDK / email > google / organic > Universal LDK / email > Universal LDK / email > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > criteo / banner > lm.facebook.com / referral > criteo / banner > (direct) / (none) > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc > criteo / banner > (direct) / (none) > google / cpc > criteo / banner;1;0,00 €
(direct) / (none) > criteo / banner > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > criteo / banner > google / cpc > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > criteo / banner > google / cpc > google / cpc > google / cpc > yotpo / email > google / cpc > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > criteo / banner > google / cpc > google / cpc > google / cpc > yotpo / email > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc;1;0,00 €
(direct) / (none) > criteo / banner > google / cpc > google / cpc > google / cpc > yotpo / email > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc > (direct) / (none);1;0,00 €
(direct) / (none) > criteo / banner > google / cpc > criteo / banner;1;0,00 €
(direct) / (none) > criteo / banner > Universal LDK / email > (direct) / (none);1;0,00 €
(direct) / (none) > criteo / banner > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > criteo / banner > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > Universal LDK / email;1;0,00 €
(direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc > images.google.es / referral > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > facebook.com / referral > Universal LDK / email > (direct) / (none) > (direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > criteo / banner > (direct) / (none) > google / organic;1;0,00 €
(direct) / (none) > criteo / banner > (direct) / (none) > google / organic > lolaterecomienda / home;1;0,00 €
(direct) / (none) > criteo / banner > (direct) / (none) > google / organic > criteo / banner > google / cpc > Universal LDK / email > google / cpc > google / organic > google / cpc > google / organic > google / cpc > criteo / banner;1;0,00 €
(direct) / (none) > criteo / banner > (direct) / (none) > loltarerecomienda / home;1;0,00 €
(direct) / (none) > criteo / banner > google / organic > (direct) / (none) > google / cpc > google / organic > (direct) / (none) > google / cpc;1;0,00 €
(direct) / (none) > criteo / banner > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / organic > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / organic > Universal LDK / email > google / cpc > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > Universal LDK / email > Universal LDK / email > google / organic > google / cpc > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > google / cpc > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > google / cpc > (direct) / (none) > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / organic > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / organic > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > google / cpc > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > google / cpc > google / cpc > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > google / cpc > google / cpc > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > google / cpc > analytics.google.com / referral > bing / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > analytics.google.com / referral > merchants.google.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > google / cpc > google / organic > (direct) / (none) > google / organic > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > optimize.google.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > yotpo / email > (direct) / (none) > google / cpc > yotpo / email > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > Universal LDK / email > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > Universal LDK / email > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > google / organic > google / cpc > google / cpc > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > google / organic > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > google / organic > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > google / organic > google / cpc > google / organic;1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > google / organic > (direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > google / organic > criteo / banner > (direct) / (none) > (direct) / (none) > Universal LDK / email > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > google / cpc > google / organic > (direct) / (none) > (direct) / (none) > Universal LDK / email > google / organic > Universal LDK / email > criteo / banner > google / organic > criteo / banner > google / organic > criteo / banner > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > Universal LDK / email > criteo / banner > Universal LDK / email > google / cpc > google / organic > google / cpc > google / organic > Universal LDK / email > Universal LDK / email > google / organic > (direct) / (none) > google / cpc > google / cpc > Universal LDK / email;1;0,00 €
(direct) / (none) > (direct) / (none) > houzz.es / referral > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > yotpo / email > google / cpc > bing / cpc > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > yotpo / email > google / cpc > bing / cpc > google / cpc > google / cpc > google / cpc > Universal LDK / email;1;0,00 €
(direct) / (none) > (direct) / (none) > yotpo / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > Universal LDK / email > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > Universal LDK / email > Universal LDK / email > Universal LDK / email > (direct) / (none) > Universal LDK / email;1;0,00 €
(direct) / (none) > (direct) / (none) > Universal LDK / email > Universal LDK / email > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > Universal LDK / email > (direct) / (none) > Universal LDK / email > Universal LDK / email;1;0,00 €
(direct) / (none) > (direct) / (none) > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > criteo / banner > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > criteo / banner > google / cpc > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > criteo / banner > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > criteo / banner > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > criteo / banner > google / organic;1;0,00 €
(direct) / (none) > (direct) / (none) > criteo / banner > google / organic > criteo / banner > google / organic;1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > Universal LDK / email;1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > Universal LDK / email;1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > google / organic > google / cpc > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / organic > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / organic > google / cpc > google / organic > google / cpc > google / cpc > google / cpc;1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > Facebook / PaidSocial > criteo / banner;1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > Universal LDK / email > (direct) / (none);1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > Universal LDK / email > (direct) / (none) > google / cpc > google / cpc > Universal LDK / email > google / cpc > Universal LDK / email > google / cpc > google / organic;1;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);1;0,00 €
