Fuente/medio;Conversiones;Valor de las conversiones
google / organic > google / cpc > google / cpc > google / cpc;13;229,50 €
google / cpc > google / cpc > google / cpc > google / cpc > google / organic;12;641,20 €
google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);12;483,20 €
google / cpc > (direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none);12;681,10 €
google / cpc > google / organic > google / cpc > (direct) / (none);12;89,40 €
criteo / retargeting > google / cpc;12;353,90 €
(direct) / (none) > criteo / banner > (direct) / (none);12;373,50 €
google / organic > google / cpc > (direct) / (none) > (direct) / (none);12;384,20 €
google / organic > criteo / banner > google / cpc;12;39,10 €
google / organic > criteo / banner > (direct) / (none) > (direct) / (none);12;345,70 €
google / organic > (direct) / (none) > google / cpc > google / cpc > google / cpc;12;90,20 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none);11;239,60 €
google / cpc > google / cpc > google / cpc > google / organic > google / cpc > google / cpc;11;190,90 €
google / cpc > google / cpc > criteo / banner > (direct) / (none) > (direct) / (none);11;614,00 €
Universal LDK / email > (direct) / (none) > (direct) / (none);11;176,40 €
criteo / banner > google / cpc;11;35,90 €
(direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none);11;84,40 €
google / organic > lolaterecomienda / home;11;39,80 €
google / organic > criteo / banner > google / organic;11;287,10 €
google / organic > (direct) / (none) > google / cpc > google / cpc;11;91,70 €
google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);11;242,00 €
google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc;10;748,60 €
google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc;10;37,80 €
google / cpc > google / cpc > google / cpc > google / organic > (direct) / (none);10;131,60 €
google / cpc > google / cpc > google / organic > google / cpc > google / cpc;10;324,70 €
google / cpc > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);10;348,70 €
google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);10;425,50 €
bing / organic > (direct) / (none) > (direct) / (none);10;367,60 €
Universal LDK / email > criteo / banner;10;295,30 €
ecosia.org / referral;10;211,90 €
(direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none);10;54,20 €
(direct) / (none) > (direct) / (none) > google / cpc > google / cpc;10;127,80 €
(direct) / (none) > (direct) / (none) > criteo / banner;10;158,40 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);10;113,37 €
google / organic > google / cpc > google / cpc > (direct) / (none);10;188,70 €
google / organic > (direct) / (none) > (direct) / (none) > google / cpc;10;0,00 €
google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc;10;47,80 €
google / organic > Universal LDK / email;10;39,10 €
google / cpc > google / cpc > criteo / banner > google / cpc > google / cpc;9;75,80 €
google / cpc > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none);9;379,22 €
google / cpc > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none);9;580,74 €
google / cpc > google / organic > google / cpc > google / organic;9;377,90 €
google / cpc > google / organic > criteo / banner > google / cpc;9;405,10 €
google / cpc > google / organic > (direct) / (none) > google / cpc;9;0,00 €
