,Reference,Name,Dates,Net_Incomes,Units_sold
113,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-11,0.0,0.0
114,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-12,0.0,0.0
115,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-13,0.0,0.0
116,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-14,0.0,0.0
11,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-15,55.29,1.0
117,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-16,0.0,0.0
118,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-17,0.0,0.0
119,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-18,0.0,0.0
120,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-19,0.0,0.0
121,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-20,0.0,0.0
122,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-21,0.0,0.0
123,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-22,0.0,0.0
124,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-23,0.0,0.0
125,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-24,0.0,0.0
126,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-25,0.0,0.0
127,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-26,0.0,0.0
128,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-27,0.0,0.0
129,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-28,0.0,0.0
130,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-29,0.0,0.0
131,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-30,0.0,0.0
132,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-31,0.0,0.0
133,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-01,0.0,0.0
134,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-02,0.0,0.0
135,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-03,0.0,0.0
136,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-04,0.0,0.0
137,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-05,0.0,0.0
138,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-06,0.0,0.0
139,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-07,0.0,0.0
12,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-08,149.26,3.0
140,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-09,0.0,0.0
141,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-10,0.0,0.0
142,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-11,0.0,0.0
143,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-12,0.0,0.0
13,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-13,199.0,4.0
144,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-14,0.0,0.0
145,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-15,0.0,0.0
146,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-16,0.0,0.0
147,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-17,0.0,0.0
148,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-18,0.0,0.0
149,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-19,0.0,0.0
