,Reference,CatN1,CatN2,Date,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads
3891,51148,muebles,"consolas, recibidores y tocadores",2018-12-24,200,0.41,1046,6,2.47,0.0,0.0,0.0,0.0,0.0
3892,51148,muebles,"consolas, recibidores y tocadores",2018-12-18,200,0.42,659,6,2.55,0.0,0.0,0.0,0.0,0.0
3893,51148,muebles,"consolas, recibidores y tocadores",2018-10-31,200,0.29,473,1,0.29,0.0,0.0,0.0,0.0,0.0
3894,51148,muebles,"consolas, recibidores y tocadores",2018-10-19,200,0.09,532,6,0.55,0.0,1.0,0.0,0.0,0.0
3895,51148,muebles,"consolas, recibidores y tocadores",2018-10-16,200,0.31,582,1,0.31,0.0,0.0,0.0,0.0,0.0
3896,51148,muebles,"consolas, recibidores y tocadores",2019-03-20,300,0.27,656,1,0.27,0.0,0.0,0.0,0.0,0.0
3897,51148,muebles,"consolas, recibidores y tocadores",2018-12-15,200,0.3,298,1,0.3,0.0,0.0,0.0,0.0,0.0
3898,51148,muebles,"consolas, recibidores y tocadores",2019-03-27,300,0.2,684,3,0.61,0.0,0.0,0.0,0.0,0.0
3899,51148,muebles,"consolas, recibidores y tocadores",2018-12-26,200,0.61,939,7,4.28,0.0,0.0,0.0,0.0,0.0
3900,51148,muebles,"consolas, recibidores y tocadores",2019-01-10,200,0.3,1412,6,1.81,0.0,0.0,0.0,0.0,0.0
3901,51148,muebles,"consolas, recibidores y tocadores",2019-03-11,300,0.39,1195,7,2.71,0.0,0.0,0.0,0.0,0.0
3902,51148,muebles,"consolas, recibidores y tocadores",2018-12-20,200,0.19,779,1,0.19,0.0,0.0,0.0,0.0,0.0
3903,51148,muebles,"consolas, recibidores y tocadores",2018-10-22,200,0.16,770,4,0.65,0.0,0.0,0.0,0.0,0.0
3904,51148,muebles,"consolas, recibidores y tocadores",2019-01-06,200,0.26,759,8,2.11,0.0,0.0,0.0,0.0,0.0
3905,51148,muebles,"consolas, recibidores y tocadores",2018-11-13,200,0.16,1216,8,1.27,0.0,0.0,0.0,0.0,0.0
3906,51148,muebles,"consolas, recibidores y tocadores",2018-10-24,200,0.1,625,3,0.31,0.0,0.0,0.0,0.0,0.0
3907,51148,muebles,"consolas, recibidores y tocadores",2018-12-11,200,1.18,316,1,1.18,0.0,0.0,0.0,0.0,0.0
3908,51148,muebles,"consolas, recibidores y tocadores",2018-11-11,200,0.12,1165,13,1.61,0.0,2.0,0.0,0.0,0.0
3909,51148,muebles,"consolas, recibidores y tocadores",2019-01-18,200,0.22,651,7,1.57,0.0,0.0,0.0,0.0,0.0
3910,51148,muebles,"consolas, recibidores y tocadores",2019-03-06,300,0.0,695,0,0.0,0.0,0.0,0.0,0.0,0.0
3911,51148,muebles,"consolas, recibidores y tocadores",2018-10-14,200,0.08,962,9,0.68,0.0,0.0,0.0,0.0,0.0
3912,51148,muebles,"consolas, recibidores y tocadores",2018-10-01,200,0.09,664,4,0.37,0.0,0.0,0.0,0.0,0.0
3913,51148,muebles,"consolas, recibidores y tocadores",2018-11-12,200,0.22,1013,12,2.63,0.0,1.0,0.0,145.8,0.0
3914,51148,muebles,"consolas, recibidores y tocadores",2018-10-07,200,0.09,847,11,0.99,0.14,0.14,23.14,23.14,23.38
3915,51148,muebles,"consolas, recibidores y tocadores",2019-02-05,200,0.18,645,6,1.1,0.0,0.0,0.0,0.0,0.0
3916,51148,muebles,"consolas, recibidores y tocadores",2019-02-02,200,0.17,506,6,1.01,0.0,0.0,0.0,0.0,0.0
3917,51148,muebles,"consolas, recibidores y tocadores",2018-11-02,200,0.06,452,3,0.19,0.0,0.0,0.0,0.0,0.0
3918,51148,muebles,"consolas, recibidores y tocadores",2018-11-07,200,0.16,924,9,1.41,0.0,0.0,0.0,0.0,0.0
